country,2020 ranking_Military Strength Power Index,Airforce Strength_Aircraft Strength value,Airforce Strength_Fighter/Interceptor Strength value,Airforce Strength_Attack Aircraft Strength value,Airforce Strength_Transport Aircraft Fleet Strength value,Airforce Strength_Trainer Aircraft Fleet value,Airforce Strength_Helicopter Fleet Strength value,Airforce Strength_Attack Helicopter Fleet Strength value,Land Strength_Tank Strength value,Land Strength_AFV/APC Strength value,Land Strength_Self-Propelled Artillery Strength value,Land Strength_Towed Artillery Strength value,Land Strength_Rocket Projector Strength value,Navy Strength_Navy Fleet Strengths value,Navy Strength_Aircraft Carrier Fleet Strength value,Navy Strength_Submarine Fleet Strength value,Navy Strength_Destroyer Fleet Strength value,Navy Strength_Frigate Fleet Strength value,Finances_defense spending budget value,Finances_External Debt value,Logistics_Airport Totals value,Natural resources_Oil Production value,Natural resources_Oil Consumption value,Natural resources_Proven Oil Reserves value,Manpower_Available Manpower value,Manpower_Total Population value
Cambodia,2.0557,22.0,0.0,0.0,5.0,0.0,17.0,0.0,263.0,340.0,0.0,150.0,570.0,27.0,0.0,0.0,0.0,0.0,604000000,11870000000,16.0,0.0,42500.0,0.0,8120963,16449519
Cameroon,1.9902,29.0,0.0,0.0,6.0,6.0,15.0,0.0,0.0,222.0,8.0,61.0,20.0,64.0,0.0,0.0,0.0,0.0,347000000,9375000000,33.0,75720.0,32500.0,200000000,9487157,25640965
Canada,0.3712,385.0,62.0,0.0,38.0,135.0,145.0,0.0,80.0,1973.0,0.0,133.0,0.0,64.0,0.0,4.0,0.0,12.0,22500000000,1608000000000,1467.0,3977000,2500000,169700000000,16110865,35881659
Central African Republic,3.2889,3.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,55.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000,779900000,39.0,0.0,4500.0,0.0,2348581,5745062
Chad,1.6383,35.0,0.0,6.0,6.0,4.0,17.0,3.0,60.0,372.0,10.0,51.0,10.0,0.0,0.0,0.0,0.0,0.0,200000000,1724000000,59.0,128000,100000,1500000000,6030834,15833116
Chile,0.7668,282.0,44.0,0.0,30.0,93.0,92.0,0.0,300.0,1430.0,48.0,158.0,10.0,69.0,0.0,4.0,0.0,10.0,4250000000,183400000000,481.0,3244.0,325000,150000000,8657902,17925262
China,0.0691,3210.0,1232.0,371.0,224.0,314.0,911.0,281.0,3500.0,33000.0,3800.0,3600.0,2650.0,777.0,2.0,74.0,36.0,52.0,237000000000,1598000000000,507.0,3838000,13500000,25620000000,752855402,1384688986
Colombia,0.6045,469.0,21.0,38.0,76.0,80.0,224.0,0.0,0.0,595.0,6.0,110.0,0.0,453.0,0.0,11.0,0.0,4.0,10600000000,124600000000,836.0,853600,300000,2002000000,24084498,48168996
Croatia,1.0183,78.0,12.0,0.0,0.0,27.0,47.0,0.0,72.0,604.0,24.0,151.0,105.0,28.0,0.0,0.0,0.0,0.0,800000000,48100000000,69.0,14000.0,82000.0,71000000,2088265,4270480
Cuba,1.2208,80.0,38.0,0.0,2.0,26.0,14.0,4.0,1180.0,670.0,100.0,150.0,100.0,12.0,0.0,0.0,0.0,2.0,500000000,30060000000,133.0,50000.0,152000,124000000,5980621,11116396
Czechia,0.5531,95.0,12.0,16.0,8.0,15.0,44.0,15.0,116.0,682.0,86.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,2969000000,205200000000,128.0,2000.0,200000,15000000,5011174,10686269
Democratic Republic of the Congo,1.1389,53.0,2.0,4.0,13.0,0.0,34.0,8.0,175.0,100.0,16.0,120.0,57.0,20.0,0.0,0.0,0.0,0.0,100000000,4963000000,198.0,19160.0,10500.0,180000000,34112410,85281024
Denmark,0.7878,113.0,33.0,0.0,4.0,38.0,35.0,0.0,57.0,972.0,22.0,0.0,0.0,74.0,0.0,0.0,0.0,9.0,4760000000,484800000000,80.0,137100,162000,490600000,2590457,5809502
Dominican Republic,2.7504,49.0,0.0,8.0,10.0,4.0,28.0,0.0,6.0,20.0,0.0,20.0,0.0,33.0,0.0,0.0,0.0,0.0,760000000,29160000000,36.0,0.0,125000,0.0,4819818,10298756
